form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2022-07-28,0000320193-22-000069,aapl-20220728.htm,506818,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/0000320193-22-000069-index.htm
10-Q,2022-04-29,0000320193-22-000059,aapl-20220326.htm,6140838,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm
8-K,2022-04-28,0000320193-22-000058,aapl-20220428.htm,512525,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/0000320193-22-000058-index.htm
8-K,2022-03-04,0001193125-22-066169,d294699d8k.htm,583449,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312522066169/0001193125-22-066169-index.htm
10-Q,2022-01-28,0000320193-22-000007,aapl-20211225.htm,5669748,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm
8-K,2022-01-27,0000320193-22-000006,aapl-20220127.htm,482245,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/0000320193-22-000006-index.htm
8-K,2021-11-12,0001193125-21-328151,d259993d8k.htm,492640,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312521328151/0001193125-21-328151-index.htm
10-K,2021-10-29,0000320193-21-000105,aapl-20210925.htm,10502096,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm
8-K,2021-10-28,0000320193-21-000104,aapl-20211028.htm,513310,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/0000320193-21-000104-index.htm
8-K,2021-08-05,0001193125-21-237787,d199884d8k.htm,740826,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312521237787/0001193125-21-237787-index.htm
10-Q,2021-07-28,0000320193-21-000065,aapl-20210626.htm,8446381,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm
8-K,2021-07-27,0000320193-21-000063,aapl-20210727.htm,513921,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/0000320193-21-000063-index.htm
10-Q,2021-04-29,0000320193-21-000056,aapl-20210327.htm,8468959,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/0000320193-21-000056-index.htm
8-K,2021-04-28,0000320193-21-000055,aapl-20210428.htm,517025,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/0000320193-21-000055-index.htm
8-K,2021-02-24,0001193125-21-054710,d101693d8k.htm,314778,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312521054710/0001193125-21-054710-index.htm
8-K,2021-02-08,0001193125-21-032394,d70217d8k.htm,875217,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312521032394/0001193125-21-032394-index.htm
10-Q,2021-01-28,0000320193-21-000010,aapl-20201226.htm,7608244,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/0000320193-21-000010-index.htm
