form,date,accession,document,size_bytes,ticker,cik
8-K,2019-04-18,0001413329-19-000029,a2019-04x188xk.htm,7263175,PM,0001413329
8-K,2019-03-25,0001413329-19-000026,a2019-03x258xk.htm,79234,PM,0001413329
8-K,2019-03-07,0001413329-19-000024,a2019-03x075038xk.htm,150866,PM,0001413329
8-K,2019-03-04,0001413329-19-000022,a2019-03x048xk.htm,60541,PM,0001413329
8-K,2019-02-20,0001413329-19-000020,a2019-02x20cagny8xk.htm,63786,PM,0001413329
8-K,2019-02-12,0001413329-19-000017,a2019-02x11compensation8xk.htm,121601,PM,0001413329
10-K,2019-02-07,0001413329-19-000007,pm123118form10kwrapinclfsm.htm,20530523,PM,0001413329
8-K,2019-02-07,0001413329-19-000005,a2019-02x07form8xk.htm,10005168,PM,0001413329
8-K,2019-01-29,0001193125-19-020088,d688098d8k.htm,22624,PM,0001413329
8-K,2018-11-13,0001413329-18-000056,a2018-11x13form8xk.htm,463136,PM,0001413329
10-Q,2018-10-25,0001413329-18-000053,pm-093018x10qxdoc.htm,11143513,PM,0001413329
8-K,2018-10-18,0001413329-18-000050,a2018-10x18form8xk.htm,9525129,PM,0001413329
8-K,2018-10-10,0001413329-18-000047,a2018-10x10form8xk.htm,37202,PM,0001413329
8-K,2018-09-27,0001413329-18-000045,a2018-09x27form8xk.htm,529986,PM,0001413329
10-Q,2018-07-26,0001413329-18-000039,pm-063018x10qxdoc.htm,11034617,PM,0001413329
8-K,2018-07-19,0001413329-18-000036,a2018-07x19form8xk.htm,9402177,PM,0001413329
8-K,2018-05-09,0001413329-18-000026,a2018-05x09x8xk.htm,438211,PM,0001413329
8-K,2018-05-09,0001413329-18-000028,a2018-05x09form8xkasmresul.htm,127929,PM,0001413329
10-Q,2018-04-26,0001413329-18-000023,pm-033118x10qxdoc.htm,9180485,PM,0001413329
8-K,2018-04-19,0001413329-18-000020,a2018-04x19form8xk.htm,7044711,PM,0001413329
8-K,2018-03-29,0001413329-18-000018,draftnovember272017-8xkdec.htm,156963,PM,0001413329
8-K,2018-03-23,0001413329-18-000015,a20180419-8xkxitem701.htm,6116548,PM,0001413329
8-K,2018-02-21,0001413329-18-000012,a2018-02x21x8xkcagny.htm,69501,PM,0001413329
8-K,2018-02-13,0001413329-18-000009,a2018-02x13compensation.htm,125849,PM,0001413329
10-K,2018-02-13,0001413329-18-000007,pm123117form10kwrapinclfsm.htm,20039933,PM,0001413329
8-K,2018-02-08,0001413329-18-000003,a2018-02x088xk.htm,20187185,PM,0001413329
8-K,2018-01-29,0001193125-18-023225,d514177d8k.htm,23631,PM,0001413329
8-K,2017-11-08,0001193125-17-336780,d457999d8k.htm,211128,PM,0001413329
8-K,2017-11-02,0001193125-17-330465,d486111d8k.htm,243769,PM,0001413329
10-Q,2017-10-26,0001413329-17-000054,pm-093017x10qxdoc.htm,10364091,PM,0001413329
8-K,2017-10-19,0001413329-17-000050,a20171019-8xkreleasexshell.htm,19048578,PM,0001413329
8-K,2017-09-28,0001413329-17-000047,a20178-kpressreleasexshell.htm,580820,PM,0001413329
