form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2021-10-27,0001373715-21-000288,now-20211026.htm,848035,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000288/0001373715-21-000288-index.htm
8-K,2021-09-16,0001373715-21-000274,now-20210914.htm,170001,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000274/0001373715-21-000274-index.htm
8-K,2021-08-25,0001373715-21-000266,now-20210820.htm,184728,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000266/0001373715-21-000266-index.htm
8-K,2021-08-02,0001373715-21-000205,now-20210728.htm,180779,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000205/0001373715-21-000205-index.htm
10-Q,2021-07-29,0001373715-21-000202,now-20210630.htm,8781724,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000202/0001373715-21-000202-index.htm
8-K,2021-07-28,0001373715-21-000200,now-20210728.htm,829777,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000200/0001373715-21-000200-index.htm
8-K,2021-06-09,0001373715-21-000182,now-20210607.htm,671086,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000182/0001373715-21-000182-index.htm
10-Q,2021-04-29,0001373715-21-000114,now-20210331.htm,7754784,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000114/0001373715-21-000114-index.htm
8-K,2021-04-28,0001373715-21-000111,now-20210428.htm,627493,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000111/0001373715-21-000111-index.htm
8-K,2021-04-16,0001373715-21-000100,now-20210415.htm,186592,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000100/0001373715-21-000100-index.htm
10-K,2021-02-12,0001373715-21-000061,now-20201231.htm,12358002,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm
8-K,2021-01-27,0001373715-21-000008,now-20210127.htm,771445,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000008/0001373715-21-000008-index.htm
8-K,2021-01-14,0001373715-21-000006,now-20210108.htm,177851,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000006/0001373715-21-000006-index.htm
8-K,2020-11-13,0001373715-20-000275,now-20201110.htm,176999,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000275/0001373715-20-000275-index.htm
10-Q,2020-10-29,0001373715-20-000257,now-20200930.htm,9377079,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000257/0001373715-20-000257-index.htm
8-K,2020-10-28,0001373715-20-000255,now-20201026.htm,843908,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000255/0001373715-20-000255-index.htm
8-K,2020-09-15,0001373715-20-000240,now-20200911.htm,186415,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000240/0001373715-20-000240-index.htm
8-K,2020-08-11,0001193125-20-216380,d18413d8k.htm,768954,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312520216380/0001193125-20-216380-index.htm
8-K,2020-08-07,0001193125-20-213479,d81437d8k.htm,370161,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312520213479/0001193125-20-213479-index.htm
10-Q,2020-07-30,0001373715-20-000191,now-20200630.htm,11398096,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000191/0001373715-20-000191-index.htm
8-K,2020-07-29,0001373715-20-000189,now-20200728.htm,1419099,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000189/0001373715-20-000189-index.htm
8-K,2020-06-19,0001373715-20-000163,now-20200617.htm,586547,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000163/0001373715-20-000163-index.htm
10-Q,2020-04-30,0001373715-20-000101,now-20200331x10q.htm,8269649,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000101/0001373715-20-000101-index.htm
8-K,2020-04-29,0001373715-20-000098,erq1fy20-8xk.htm,946455,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000098/0001373715-20-000098-index.htm
8-K,2020-03-27,0001373715-20-000080,now8-k2020x03x27.htm,202351,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000080/0001373715-20-000080-index.htm
10-K,2020-02-20,0001373715-20-000072,now-20191231x10kxinpro.htm,13747593,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.htm
8-K,2020-01-29,0001373715-20-000008,erq4fy19-8xk.htm,1364858,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000008/0001373715-20-000008-index.htm
8-K,2019-11-18,0001373715-19-000297,now8-k2019x11x18.htm,409307,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000297/0001373715-19-000297-index.htm
10-Q,2019-10-25,0001373715-19-000267,now-20190930x10q.htm,10225210,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000267/0001373715-19-000267-index.htm
8-K,2019-10-23,0001373715-19-000265,erq3fy19-8xk.htm,1316311,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000265/0001373715-19-000265-index.htm
8-K,2019-10-23,0001193125-19-271896,d805784d8k.htm,374848,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312519271896/0001193125-19-271896-index.htm
10-Q,2019-08-06,0001373715-19-000208,now-20190630x10q.htm,10553750,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000208/0001373715-19-000208-index.htm
8-K,2019-07-24,0001373715-19-000200,erq2fy19-8xk.htm,1099981,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000200/0001373715-19-000200-index.htm
8-K,2019-06-14,0001373715-19-000170,a8-k2019annualmeetingresul.htm,53373,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000170/0001373715-19-000170-index.htm
10-Q,2019-05-03,0001373715-19-000116,now-20190331x10q.htm,8582379,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000116/0001373715-19-000116-index.htm
8-K,2019-05-02,0001373715-19-000114,a8-k20190502.htm,45964,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000114/0001373715-19-000114-index.htm
8-K,2019-04-24,0001373715-19-000105,erq1fy19-8xk.htm,771487,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000105/0001373715-19-000105-index.htm
8-K,2019-03-04,0001373715-19-000074,a8-k20190304.htm,49032,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000074/0001373715-19-000074-index.htm
10-K,2019-02-27,0001373715-19-000070,now-20181231x10k.htm,16068581,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.htm
8-K,2019-01-30,0001373715-19-000006,erq4fy18-8xk.htm,1182478,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000006/0001373715-19-000006-index.htm
10-Q,2018-11-07,0001373715-18-000195,now-2018930x10q.htm,11340187,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000195/0001373715-18-000195-index.htm
8-K,2018-10-24,0001373715-18-000191,erq3fy18-8xk.htm,1153813,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000191/0001373715-18-000191-index.htm
10-Q,2018-08-08,0001373715-18-000157,now-2018630x10q.htm,11900463,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000157/0001373715-18-000157-index.htm
8-K,2018-07-25,0001373715-18-000153,erq2fy18-8xk.htm,1126788,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000153/0001373715-18-000153-index.htm
8-K,2018-06-22,0001373715-18-000146,a8-k2018annualmeetingresul.htm,60157,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000146/0001373715-18-000146-index.htm
10-Q,2018-05-08,0001373715-18-000087,now-2018331x10q.htm,120759463,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000087/0001373715-18-000087-index.htm
8-K,2018-04-25,0001157523-18-000805,a51794662.htm,389658,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000805/0001157523-18-000805-index.htm
10-K,2018-02-28,0001373715-18-000058,now-20171231x10k.htm,13085035,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000058/0001373715-18-000058-index.htm
