ticker,signal,horizon,corr,pval,n,significant
ABBV,roll_21d,5,-0.0085,0.8426,553,False
ABBV,roll_21d,7,-0.0608,0.1534,553,False
ABBV,roll_21d,10,-0.0824,0.0527,553,False
ABBV,roll_21d,21,0.008,0.8519,553,False
ABBV,volume_surge,1,0.0066,0.6681,4193,False
ABBV,volume_surge,2,-0.0058,0.7072,4192,False
ABBV,volume_surge,3,0.0259,0.0938,4191,False
ABBV,volume_surge,5,-0.0131,0.3958,4186,False
ABBV,volume_surge,7,-0.0019,0.9037,4184,False
ABBV,volume_surge,10,0.0159,0.3056,4179,False
ABBV,volume_surge,21,-0.0069,0.6547,4164,False
ABCL,adaptive_sentiment,1,-0.278,0.0017,125,True
ABCL,adaptive_sentiment,2,-0.1865,0.0206,154,True
ABCL,adaptive_sentiment,3,-0.143,0.0768,154,False
ABCL,adaptive_sentiment,5,-0.1704,0.0358,152,True
ABCL,adaptive_sentiment,7,-0.1322,0.1044,152,False
ABCL,adaptive_sentiment,10,-0.2171,0.0076,150,True
ABCL,adaptive_sentiment,21,0.1494,0.075,143,False
ABCL,roll_7d,2,-0.3655,0.0048,58,True
ABCL,roll_7d,3,-0.168,0.2076,58,False
ABCL,roll_7d,5,-0.0218,0.8708,58,False
ABCL,roll_7d,7,-0.3523,0.0067,58,True
ABCL,roll_7d,10,-0.3728,0.0039,58,True
ABCL,roll_7d,21,0.1687,0.2056,58,False
ABCL,roll_21d,1,-0.251,0.0029,139,True
ABCL,roll_21d,2,-0.1681,0.0285,170,True
ABCL,roll_21d,3,-0.1462,0.0571,170,False
ABCL,roll_21d,5,-0.1583,0.0417,166,True
ABCL,roll_21d,7,-0.1264,0.1024,168,False
ABCL,roll_21d,10,-0.2316,0.0027,166,True
ABCL,roll_21d,21,0.091,0.2569,157,False
ABCL,volume_surge,1,-0.0477,0.0315,2032,True
ABCL,volume_surge,2,0.0052,0.7345,4204,False
ABCL,volume_surge,3,0.0042,0.7868,4203,False
ABCL,volume_surge,5,0.0071,0.6442,4195,False
ABCL,volume_surge,7,-0.0076,0.621,4196,False
ABCL,volume_surge,10,0.0531,0.0006,4189,True
ABCL,volume_surge,21,0.01,0.5182,4175,False
ABEO,adaptive_sentiment,1,0.054,0.5681,114,False
ABEO,adaptive_sentiment,2,0.0394,0.6774,114,False
ABEO,adaptive_sentiment,3,0.0193,0.8388,114,False
ABEO,adaptive_sentiment,5,0.2012,0.0318,114,True
ABEO,adaptive_sentiment,7,0.0843,0.3727,114,False
ABEO,adaptive_sentiment,10,0.1575,0.0943,114,False
ABEO,adaptive_sentiment,21,0.0317,0.7377,114,False
ABEO,roll_21d,1,0.0269,0.7646,126,False
ABEO,roll_21d,2,0.0371,0.6803,126,False
ABEO,roll_21d,3,0.0524,0.5602,126,False
ABEO,roll_21d,5,0.1803,0.0433,126,True
ABEO,roll_21d,7,0.1155,0.1976,126,False
ABEO,roll_21d,10,0.1346,0.1328,126,False
ABEO,roll_21d,21,0.0425,0.6368,126,False
ABEO,volume_surge,1,-0.0224,0.1458,4203,False
ABEO,volume_surge,2,-0.0084,0.5867,4204,False
ABEO,volume_surge,3,0.0285,0.0651,4203,False
ABEO,volume_surge,5,-0.0234,0.1293,4195,False
ABEO,volume_surge,7,-0.0195,0.2058,4196,False
ABEO,volume_surge,10,0.0121,0.4341,4189,False
ABEO,volume_surge,21,-0.0091,0.5575,4175,False
ABNB,norm_sentiment,1,-0.079,0.2734,194,False
ABNB,norm_sentiment,2,-0.0369,0.3482,647,False
ABNB,norm_sentiment,3,-0.0053,0.893,647,False
ABNB,norm_sentiment,5,0.0188,0.6329,647,False
ABNB,norm_sentiment,7,0.0326,0.4083,646,False
ABNB,norm_sentiment,10,-0.0927,0.0185,646,True
ABNB,norm_sentiment,21,-0.0219,0.5784,645,False
ABNB,adaptive_sentiment,1,-0.0221,0.3743,1615,False
ABNB,adaptive_sentiment,2,-0.0223,0.1743,3699,False
ABNB,adaptive_sentiment,3,-0.019,0.2476,3698,False
ABNB,adaptive_sentiment,5,0.017,0.3029,3693,False
ABNB,adaptive_sentiment,7,0.0272,0.0986,3692,False
ABNB,adaptive_sentiment,10,-0.0306,0.0635,3688,False
ABNB,adaptive_sentiment,21,0.005,0.7629,3683,False
ABNB,roll_3d,1,-0.0894,0.0495,483,True
ABNB,roll_3d,2,-0.0461,0.074,1502,False
ABNB,roll_3d,3,-0.0159,0.5372,1502,False
ABNB,roll_3d,5,0.032,0.2153,1500,False
ABNB,roll_3d,7,0.0309,0.2312,1499,False
ABNB,roll_3d,10,-0.0556,0.0313,1499,True
ABNB,roll_3d,21,0.0003,0.9916,1498,False
ABNB,roll_5d,1,-0.0556,0.131,739,False
ABNB,roll_5d,2,-0.0235,0.2707,2195,False
ABNB,roll_5d,3,-0.0215,0.3134,2195,False
